#ID,RA,DEC,RV,RV_err,RAD
  NGC5866_GC5,226.636025,55.751095,854,12,0.85
  NGC5866_GC6,226.635505,55.765282,397,10,0.44
  NGC5866_GC7,226.631514,55.760208,754,46,0.34
  NGC5866_GC8,226.61676,55.756633,659,10,0.45
  NGC5866_GC9,226.615639,55.774013,840,11,0.69
  NGC5866_GC10,226.610369,55.76453,542,13,0.43
  NGC5866_GC11,226.61011,55.784406,876,45,1.34
  NGC5866_GC12,226.594948,55.783584,689,18,1.54
  NGC5866_GC13,226.596984,55.782448,412,15,1.45
  NGC5866_GC14,226.581821,55.753688,699,41,1.5
  NGC5866_GC15,226.587626,55.769946,758,24,1.26
  NGC5866_GC16,226.682131,55.706306,644,18,3.96
  NGC5866_GC17,226.654464,55.71325,669,11,3.18
  NGC5866_GC18,226.749339,55.715944,857,31,5.12
  NGC5866_GC19,226.722172,55.71825,728,19,4.3
  NGC5866_GC20,226.712422,55.764,741,25,3.02
NGC5846_S1,226.61678,1.54611,1821,27,3.58
NGC5846_S2,226.61653,1.55789,1306,29,2.88
NGC5846_S3,226.57384,1.52984,1719,10,5.39
NGC5846_S4,226.56359,1.52962,1728,21,5.75
NGC5846_S5,226.5687,1.53422,1933,23,5.35
NGC5846_S6,226.56532,1.54701,1726,11,4.89
NGC5846_S7,226.60025,1.58221,1682,14,1.92
NGC5846_S8,226.61159,1.59207,1541,32,1.03
NGC5846_S9,226.57325,1.57312,1372,27,3.52
NGC5846_S10,226.54153,1.5512,1448,16,5.83
NGC5846_S11,226.55138,1.56032,1658,31,5.03
NGC5846_S12,226.64894,1.62922,1328,28,2.15
NGC5846_S13,226.56538,1.57425,905,21,3.88
NGC5846_S14,226.5865,1.59114,2021,18,2.3
NGC5846_S15,226.5455,1.5682,1730,18,5.11
NGC5846_S16,226.60876,1.61703,1506,11,1.05
NGC5846_S17,226.66239,1.65574,1409,15,3.86
NGC5846_S18,226.65247,1.65495,1466,21,3.48
NGC5846_S19,226.65891,1.6598,1582,17,3.93
NGC5846_S20,226.63534,1.64525,2257,30,2.51
NGC5846_S21,226.65801,1.6624,1716,24,4.03
NGC5846_S22,226.64982,1.65885,1629,10,3.6
NGC5846_S23,226.66125,1.66696,2036,12,4.37
NGC5846_S24,226.66386,1.6739,1417,20,4.8
NGC5846_S25,226.59371,1.62932,2166,12,2.21
NGC5846_S26,226.62934,1.66018,1548,10,3.3
NGC5846_S27,226.63,1.66261,1450,18,3.45
NGC5846_S28,226.67238,1.6944,2211,29,6.12
NGC5846_S29,226.62112,1.66013,1749,28,3.27
NGC5846_S30,226.64396,1.68048,1925,14,4.68
NGC5846_S31,226.65823,1.70445,1649,23,6.31
NGC5846_S32,226.64873,1.70626,1455,12,6.25
NGC5846_S33,226.68609,1.73332,1379,25,8.57
NGC5846_S34,226.63944,1.70168,1881,31,5.86
NGC5846_S35,226.65996,1.72269,1424,17,7.38
NGC5846_S36,226.62599,1.70259,1300,11,5.82
NGC5846_S37,226.61405,1.70989,1506,20,6.27
NGC5846_S38,226.66029,1.74775,1793,15,8.83
NGC5846_S39,226.626,1.60401,1740,16,0.26
NGC5846_S40,226.62702,1.61121,1788,40,0.45
NGC5846_S41,226.62944,1.62508,1710,22,1.25
NGC5846_S42,226.62609,1.62419,1910,23,1.14
NGC5846_S43,226.62471,1.62275,1773,25,1.04
NGC5846_S44,226.61671,1.62361,1601,16,1.13
NGC5846_S45,226.62635,1.59676,1969,10,0.59
NGC5846_S46,226.64693,1.63294,2012,45,2.22
NGC5846_S47,226.61478,1.58248,1538,21,1.45
NGC5846_S48,226.73048,1.60722,1703,26,6.51
NGC5846_S49,226.73452,1.62222,2110,15,6.82
NGC5846_S50,226.7141,1.6169,1721,48,5.56
NGC5846_S51,226.69167,1.60236,1962,10,4.18
NGC5846_S52,226.69973,1.61211,1960,12,4.68
NGC5846_S53,226.65959,1.60628,1878,24,2.25
NGC5846_S54,226.6646,1.61362,1599,29,2.6
NGC5846_S55,226.68109,1.62635,1901,25,3.75
NGC5846_S56,226.73094,1.66212,1487,21,7.36
NGC5846_S57,226.72114,1.65911,1809,23,6.76
NGC5846_S58,226.65863,1.6454,1559,14,3.24
NGC5846_S59,226.65488,1.65525,2339,22,3.57
NGC5846_S60,226.6024,1.6218,1948,12,1.53
NGC5846_S61,226.61138,1.62955,1770,19,1.57
NGC5846_S62,226.57711,1.6206,1596,20,2.84
NGC5846_S63,226.59983,1.63843,1463,54,2.38
NGC5846_S64,226.57191,1.64024,1959,17,3.65
NGC5846_S65,226.55418,1.63526,1802,14,4.44
NGC5846_S66,226.60007,1.67446,1233,22,4.33
NGC5846_S67,226.5585,1.64926,1688,18,4.62
NGC5846_S68,226.56846,1.65892,1498,31,4.53
NGC5846_S69,226.62315,1.60064,1974,19,0.31
NGC5846_S70,226.64023,1.60637,1722,18,1.09
NGC5846_S71,226.63015,1.60507,1696,34,0.49
NGC5846_S72,226.64564,1.5117,2020,23,5.81
NGC5846_S73,226.59748,1.49675,2055,37,6.7
NGC5846_S74,226.60257,1.50239,1849,16,6.3
NGC5846_S75,226.64611,1.53894,1812,54,4.25
NGC5846_S76,226.64716,1.54062,1743,12,4.18
NGC5846_S77,226.59058,1.50372,1698,15,6.4
NGC5846_S78,226.61535,1.52119,1562,27,5.08
NGC5846_S79,226.65197,1.54787,1865,19,3.9
NGC5846_S80,226.63955,1.54242,1666,16,3.94
NGC5846_S81,226.64883,1.56319,1258,17,3.01
NGC5846_S82,226.59621,1.5329,1534,29,4.63
NGC5846_S83,226.6142,1.55641,1728,16,2.99
NGC5846_S84,226.58161,1.54408,1667,15,4.42
NGC5846_S85,226.6023,1.56758,1445,28,2.57
NGC5846_S86,226.60017,1.57148,2004,12,2.43
NGC5846_S87,226.59371,1.56897,1680,7,2.78
NGC5846_S88,226.59828,1.5781,1736,20,2.18
NGC5846_S89,226.58564,1.57499,1878,7,2.85
NGC5846_S90,226.60062,1.59662,1845,16,1.39
NGC5846_S91,226.5986,1.60841,1627,12,1.41
NGC5846_S92,226.60442,1.61288,1262,8,1.14
NGC5846_S93,226.59686,1.61399,1875,9,1.59
NGC5846_S94,226.59962,1.62445,2002,9,1.76
NGC5846_S95,226.59655,1.64148,1992,13,2.64
NGC5846_S96,226.61753,1.65646,1487,22,3.06
NGC5846_S97,226.6215,1.67336,1570,14,4.06
NGC5846_S98,226.58322,1.64915,1614,19,3.5
NGC5846_S99,226.60777,1.66687,1761,10,3.77
NGC5846_S100,226.58876,1.66194,1653,21,3.92
