u,g,r,i,z,ra,dec,flags_r
24.81006,22.60895,22.07573,21.47128,21.43664,177.156099146052,52.229757995607,4503599895838720
25.8292,23.35,21.94403,20.23847,19.27605,177.091832168322,52.2221229442678,4503599895805952
24.43089,23.44848,22.79091,22.72747,23.11675,177.156000692718,52.2215307053638,4503874807267352
23.69469,23.73512,22.28357,21.41229,21.78122,178.353001196395,51.7413695946452,4503874807300112
25.46523,23.45346,22.59277,20.75196,19.96239,178.243310513881,51.8280835204732,4503599904194560
25.96742,23.03032,21.28979,19.7707,18.91345,178.081998707561,51.7888667865748,4503874773712896
25.49966,22.70277,21.04119,20.32571,19.83665,178.083190595779,51.7784005606739,4503874773712896
24.37674,24.30396,22.55311,23.67516,23.52162,177.472621133307,51.6576965894699,2310346883995828240
24.21092,23.5091,21.81272,21.01594,20.31261,177.324584229951,51.752727057934,4503874773712896
24.63048,23.72936,22.3616,21.11823,20.46034,177.156219310339,51.6360011478924,4503874807300112
20.77519,19.71001,19.31424,19.20552,19.09606,178.035525270349,51.2689517296187,4503874773745664
20.16717,17.56059,16.20008,15.46259,15.04811,178.034897278974,51.2504891134224,4503599895838720
23.46792,22.63092,22.00127,21.78068,21.60009,177.835241649142,51.358388452509,4503874782134272
25.79756,21.82675,20.52004,19.92458,19.80882,177.326274456364,51.2681928454221,4503874773712896
24.13614,23.04347,22.20743,21.90591,21.63375,177.325766720032,51.2213440421728,4503874773745664
24.10698,25.37159,22.82356,21.53248,20.69251,177.089697934754,51.3119261400353,49539871055806720
24.70192,23.09896,21.23034,20.62187,19.97672,177.155822357834,51.3788002981406,4503599929393168
19.49795,17.758,17.05697,16.81337,16.64443,177.155434314383,51.3749363678732,4503599895838736
21.74162,18.97904,17.52833,16.53131,16.01969,178.244373555058,52.8312474515673,4503599895838736
26.30091,22.75127,21.58373,20.00415,19.22841,177.958367025366,52.854883891888,4503874773712896
22.12749,21.61693,21.39713,21.00842,21.0195,177.958443325912,52.8270811161317,4503874773745664
