u,g,r,i,z,ra,dec,flags_r
23.51356,23.1723,22.52894,22.07031,21.73937,177.409722440798,52.7951633876498,4503874916319488
23.46899,23.30235,21.82427,20.95532,20.64072,177.411136486541,52.7130812743658,4503874773746944
24.18757,23.01509,21.45796,21.03065,20.67528,177.410021139173,52.7796562252817,4503874773746944
22.10246,22.25053,21.18717,20.88812,20.40736,177.412125964146,52.8925208536797,4503874782134272
21.58366,21.85118,21.19987,21.02198,20.51261,177.092004417766,51.3517846973622,4503874983460936
20.86442,20.04012,19.48705,19.25161,19.33297,177.190565193345,51.2694715563879,4503874773745664
23.07615,21.53356,19.88495,19.10627,18.61153,177.189596679067,51.2638189562702,6755674587430928
22.42347,23.12974,22.45747,22.65453,21.58304,177.190176866881,51.2232784946635,13511074028453888
22.85555,23.39496,22.02184,21.88362,21.41379,177.190322388762,51.238980548548,4503874773712896
22.29558,21.00787,20.17774,20.12177,20.20836,177.189390993263,51.3821699275973,4503874840854600
24.42401,23.28866,22.45408,21.6847,20.42558,177.298021556608,51.3026021155871,4503874916319232
22.93901,23.07725,22.22196,21.953,21.28465,177.298734593817,51.345730453302,4503874782101760
22.54478,22.54078,21.36594,21.54893,20.84986,177.411627615303,51.3138945671682,4503874773712896
23.83673,22.86459,21.94565,21.89809,20.96839,177.411134149512,51.3240820132033,4503874907930624
22.84171,23.00374,22.39662,22.05688,21.11334,177.092423478044,51.6394389590556,4503874782134528
26.18656,22.14517,20.5848,20.08343,19.61597,177.092172319106,51.6721075125595,6755674587562000
19.62142,18.17893,17.31793,16.88306,16.63147,177.190586591529,51.6180885599637,6755674587430928
23.70153,20.70859,19.14689,18.55411,18.16445,177.189746981349,51.6911436759203,6755674587566096
21.81699,21.09229,20.81368,20.47849,20.55512,177.298824504134,51.6837183877622,4503874773745664
23.10635,21.6818,20.64637,20.59265,20.38145,177.296644936619,51.6347735391272,4503874773745664
23.6265,21.04611,20.03273,19.68416,19.45305,177.299996049791,51.6607815515877,4503874773745664
23.60115,22.36833,21.57664,21.70943,21.06437,177.409791848676,51.6790257443364,4503874773712896
22.94593,23.08996,21.68131,20.52175,20.08672,177.409369768715,51.8301783567229,4503874773746944
21.61133,20.84577,19.58252,19.07851,18.69771,177.091557073155,52.1862205671481,4503874773745664
22.06398,21.64798,21.00649,20.64042,20.21024,177.297225640091,52.0953183537866,4503874773712920
22.98643,22.46088,21.61811,21.11964,20.82958,177.089542935681,52.0310272598549,4503874782134272
23.09176,22.66295,21.12898,19.91973,19.63508,177.090277708666,52.0760574448739,4503874773745664
22.23749,20.64631,20.38618,20.25774,20.2972,177.090374704488,52.1067505645645,4503874773712896
23.28715,22.65774,21.66768,21.21519,21.19897,177.187541033512,52.0466944989549,2310346883987406872
23.57273,23.22194,22.33706,22.36542,20.68779,177.187962437604,52.0486866011175,4503874807398416
