u,g,r,i,z,ra,dec,flags_r
21.12536,20.03313,19.71944,19.60879,19.59157,10.3539381101787,13.7725832194268,4503874773745664
24.28732,23.9913,22.07448,21.52668,21.97056,10.3418930570123,13.7122047466848,2312598683801124880
25.56666,23.38351,22.86774,22.35504,22.90975,10.0286138521249,13.7213031456099,4503874807267344
22.10848,22.06822,21.75512,21.20175,21.06295,10.2912143861849,13.7512711303132,4503874773712896
21.18279,20.52556,20.01184,19.8569,19.86808,10.0943178822927,13.7315837896491,4503874773848080
23.03902,21.66487,21.07384,20.84503,20.79888,10.2836447616831,13.7841757011006,4503599895805952
20.42967,17.61565,16.25146,15.70413,15.40677,10.0283279290716,13.6985995530878,4503599988113480
23.75892,21.45621,20.40108,19.96628,19.71876,10.2919642313412,13.7673314555636,4503874773712896
24.27815,22.46643,21.86087,21.7722,21.23068,10.3538163790217,13.7757983461207,4503600030056448
24.52326,24.23542,22.2782,22.59878,21.65228,10.1848162117099,13.8461252021488,4503874773712896
25.84559,23.62343,21.65566,20.45975,19.91485,10.2928802474561,13.8147674629693,4503874773712896
24.33281,24.17959,22.84392,22.59092,20.55047,10.1188726345981,13.7200523340166,2382404478033723664
20.92838,19.30027,18.68329,18.48207,18.29697,10.0547538267676,13.7433686755762,4503599895838720
19.50971,18.28221,17.76138,17.5507,17.44008,10.1477366533048,13.8263266194087,4503599895838720
24.23387,22.92966,21.83287,20.97367,20.34303,10.0522310780441,13.7922811009366,4503874773745664
17.4683,16.02624,15.47609,15.28156,15.21727,10.2058869834789,13.8569102435123,4503599895973904
20.23248,18.72914,17.91705,17.57735,17.37794,10.0100665200731,13.6936826583793,4503599895838720
23.59829,23.94603,22.63924,22.39056,21.11923,10.0011977790043,13.8611400352123,4503874773712896
23.77888,19.93504,18.66361,18.13239,17.77658,10.0471048474554,13.7069416823173,4503599895838720
23.39446,23.77903,21.62613,20.65796,19.92601,10.0696495076317,13.7459158418911,4503874983460936
20.54455,18.30272,17.35447,17.01166,16.80995,10.0178435803898,13.6927241343046,4503599921139712
23.29063,22.21954,21.30123,20.91138,20.56557,10.3704498502726,15.7808817058808,4503874807267352
23.71352,23.51879,22.43029,20.61054,19.76995,10.0166245502581,13.8103178475214,4503874907930624
17.55854,16.23508,15.72391,15.54281,15.45602,10.0371449641837,13.7747812409241,4503599895838720
21.89074,24.35413,22.1077,21.66976,20.86503,10.0316167566877,13.832354695483,4503874849243208
26.3818,23.32888,21.6006,20.67261,20.13031,10.0563198779089,13.8784748657614,2310346883987406864
23.57656,22.29957,21.95549,21.0844,20.7546,10.1266859180889,13.8294993149797,2310346609109532688
