Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
225,1237649954403909651,20.4834914177243,14.8066461347842,STAR,18.35568,17.2083,17.09801,16.98439,16.84926,5784879316727427072,2.872244
236,1237666089515090138,18.348286420825,15.4225255109165,STAR,20.38716,19.96947,19.6922,19.69317,19.6154,5784991192035553280,0.9722113
242,1237652899697655999,53.8864756840506,-7.46144389510184,GALAXY,21.6323,20.38509,18.99608,18.44836,18.072,1835221046416926720,0.361471
247,1237653500971450587,41.5657471868951,-8.58416131931599,GALAXY,25.48126,20.3955,18.51892,17.87812,17.52926,513453820274042880,0.4155144
252,1237653471442567410,40.232557505461,-8.33147302227079,GALAXY,20.79281,20.75164,20.69086,20.21676,20.63627,512448866629478400,1.802621
255,1237653471442633001,40.2788732467324,-8.33345343056358,STAR,23.68265,22.3021,20.70937,20.06994,19.68633,7945583505340821504,0.5214061
263,1237653472515391863,37.9979258370198,-7.62380773191721,GALAXY,21.39569,20.17732,19.01336,18.2975,17.87226,4941770222253830144,0.4184234
265,1237673700743053590,38.8227961824285,-7.10689307325027,STAR,20.50517,19.75939,19.73762,19.67268,19.25846,4940461528488538112,2.29136
265,1237673700743053590,38.8227961824285,-7.10689307325027,STAR,20.50517,19.75939,19.73762,19.67268,19.25846,4941814202718941184,2.286217
266,1237673700743053430,38.8504166106106,-7.16449202112315,STAR,20.21037,20.03313,19.65145,19.55412,19.55679,512396364949252096,1.385121
268,1237673700743053672,38.8779548715915,-7.08458593622219,STAR,20.86812,20.78356,20.81432,20.3912,19.95374,512397189582972928,2.056315
269,1237673700743053446,38.9080166196033,-7.14425793370399,GALAXY,24.63466,25.11438,20.21601,24.3618,21.20316,4941822998811963392,0.3000618
269,1237673700743053446,38.9080166196033,-7.14425793370399,GALAXY,24.63466,25.11438,20.21601,24.3618,21.20316,4952915701310091264,0.3002284
270,1237679338959929685,39.0002966661375,-7.10382341282209,GALAXY,21.63782,20.82219,19.42144,18.85767,18.41425,4941825472713125888,0.3798377
272,1237671264958349432,192.056909006837,-3.33285049649985,GALAXY,16.79193,16.13786,16.06627,15.8615,15.85878,379506367435663360,0.003757023
295,1237650371552346220,172.432932971975,-1.63118317079464,STAR,18.45373,18.49012,18.12992,18.03917,18.05725,367194317447522304,1.293924
302,1237650371552411943,172.486203056671,-1.62791349937788,STAR,22.01373,21.29506,21.35271,21.1367,20.87373,4266234396787011584,2.331813
304,1237671128587960433,175.298386188536,-1.71850596873231,STAR,18.71668,18.27645,17.83576,17.77398,17.70561,4250497635574280192,1.265867
304,1237671128587960433,175.298386188536,-1.71850596873231,STAR,18.71668,18.27645,17.83576,17.77398,17.70561,369409831817209856,1.265032
305,1237671128587960561,175.268594318576,-1.63721893351661,GALAXY,20.42619,18.99895,17.73609,17.19565,16.73281,4250496536062652416,0.2228673
310,1237671128587960345,175.330137116133,-1.8155701647116,STAR,19.64561,19.43648,19.33529,19.10499,19.17377,369408457427675136,1.502248
316,1237650371555164314,178.881068683296,-1.76997503045826,STAR,23.26847,19.42654,18.9474,18.5256,18.51669,4251578455537938432,3.201457
323,1237650371555229974,178.955694675194,-1.68747136709581,STAR,21.91111,20.92201,20.6074,20.37531,19.81189,4251564711642591232,2.438905
329,1237650371562045736,194.544919248116,-1.71483961123862,STAR,21.48634,20.04506,19.79189,19.67068,19.59988,4271900729490993152,2.832919
335,1237650371562046034,194.563673297993,-1.68231318169495,GALAXY,22.47059,22.22208,21.18116,20.48682,20.03533,4271900179735179264,0.6043643
340,1237650371562111011,194.707672135119,-1.71758508354134,STAR,17.40636,17.20952,17.04403,17.08763,17.11069,380691086131095552,0.9649108
351,1237650371562176824,194.824772792203,-1.68913996820179,STAR,21.15536,20.55376,20.37857,20.31967,20.06401,4561154202822963200,2.332644
355,1237650371562438740,195.491854014252,-1.7033703513222,STAR,18.10007,18.04109,17.71733,17.56853,17.48512,380724621235742720,1.272346
357,1237650372093018164,181.092234742109,-1.36758348716549,GALAXY,17.86397,17.30251,16.76793,16.25726,16.1195,372842508561967104,0.0833853
378,1237650760787624144,197.546484528207,-3.15627176157734,GALAXY,19.69141,17.72013,16.56906,16.10751,15.73906,381690267289282560,0.1428491
379,1237650760787624396,197.63633785972,-3.21915420417027,STAR,21.98703,21.19824,21.01991,21.23535,20.87407,4563373571305041920,0.8999815
383,1237650760787624756,197.63970856215,-3.14533032787573,GALAXY,22.79855,23.05668,20.99881,19.92386,19.21414,4563374670816669696,0.6635911
422,1237650762387226842,172.463362118758,-1.8436933393182,STAR,20.32771,20.07741,20.16126,19.73068,19.80408,367206961831241728,1.779365
427,1237671128587894821,175.266184254531,-1.91794746381206,STAR,18.29029,18.27149,18.10601,18.03057,18.03711,369412030840465408,1.267232
429,1237650762390045156,178.856508310744,-1.87072612588769,GALAXY,23.29274,20.88369,19.24026,18.45595,18.02174,4251576531392589824,0.4219553
