Name,type,RA,Dec,Mv,Mstar,Re,Sig
Pal2,5,71.524625,31.3815,-8,7.08E+05,2.6,
NGC1851,5,78.528167,-40.046556,-8.3,3.09E+05,1.8,10.4
NGC1904,5,81.044125,-24.52425,-7.9,1.59E+05,2.4,5.3
NGC2298,5,102.247542,-36.005306,-6.3,3.09E+04,2.4,
NGC2419,5,114.535458,38.881917,-9.4,8.91E+05,19.9,4
NGC2808,5,138.012917,-64.8635,-9.4,8.51E+05,2.2,13.4
Pal3,5,151.379,0.070944,-5.7,4.47E+04,17.4,
NGC3201,5,154.403417,-46.412472,-7.4,1.10E+05,3.9,5
Pal4,5,172.32,28.973611,-3.1,3.80E+04,16.3,
NGC4147,5,182.525621,18.542161,-6.2,4.57E+04,2.7,2.6
NGC4590,5,189.866583,-26.744056,-7.4,9.12E+04,4.5,2.5
NGC5024,5,198.230208,18.168167,-8.7,4.47E+05,6.8,4.4
NGC5053,5,199.112875,17.70025,-6.8,6.31E+04,12.4,1.4
NGC5139,5,201.697,-47.479472,-10.3,2.34E+06,7.7,16.8
NGC5272,5,205.548417,28.377278,-8.9,3.80E+05,7,5.5
NGC5286,5,206.611708,-51.37425,-8.7,4.47E+05,2.3,8.1
NGC5466,5,211.363708,28.534444,-7,5.89E+04,10.6,1.7
NGC5634,5,217.405333,-5.976417,-7.7,1.38E+05,6.3,
NGC5694,5,219.902167,-26.538333,-7.8,2.14E+05,4,5.8
IC4499,5,225.077375,-82.213778,-7.3,1.26E+05,9.4,2.5
NGC5824,5,225.994217,-33.068528,-8.9,6.46E+05,4.2,11.6
Pal5,5,229.022083,-0.111389,-5.2,1.48E+04,18.4,1.1
NGC5897,5,229.351667,-21.010111,-7.2,1.02E+05,7.4,
NGC5904,5,229.638417,2.081028,-8.8,4.47E+05,3.9,5.5
NGC5986,5,236.5125,-37.786417,-8.4,2.82E+05,3,
Pal14,5,242.745833,14.961667,-4.8,1.23E+04,25.1,0.4
NGC6093,5,244.260042,-22.976083,-8.2,2.75E+05,1.8,12.4
NGC6121,5,245.89675,-26.52575,-7.2,1.12E+05,2.8,4
NGC6101,5,246.4505,-72.202194,-6.9,5.75E+04,4.7,
NGC6139,5,246.916613,-38.849175,-8.4,3.24E+05,2.5,
NGC6171,5,248.13275,-13.053778,-7.1,7.94E+04,3.2,4.1
NGC6205,5,250.423475,36.461319,-8.6,3.72E+05,3.8,7.1
NGC6229,5,251.744338,47.526772,-8.1,2.29E+05,3.2,
NGC6218,5,251.809083,-1.948528,-7.3,8.91E+04,2.5,4.5
NGC6235,5,253.355667,-22.177444,-6.3,6.92E+04,3.3,
NGC6254,5,254.287708,-4.100306,-7.5,1.51E+05,2.5,6.6
NGC6266,5,255.3025,-30.112361,-9.2,7.24E+05,1.8,14.3
NGC6273,5,255.657042,-26.267944,-9.1,6.92E+05,3.3,
NGC6287,5,256.289458,-22.707889,-7.4,1.15E+05,2,
NGC6316,5,259.155917,-28.14,-8.3,2.34E+05,2.1,
NGC6341,5,259.280792,43.135944,-8.2,2.69E+05,2.4,6
NGC6333,5,259.799083,-18.51625,-7.9,2.14E+05,2.2,
NGC6356,5,260.895792,-17.813028,-8.5,5.89E+05,3.6,
NGC6366,5,261.934333,-5.079861,-5.7,6.03E+04,3.1,1.3
NGC6362,5,262.979125,-67.048333,-6.9,1.07E+05,4.5,2.8
NGC6388,5,264.072754,-44.73565,-9.4,1.05E+06,1.5,18.9
NGC6402,5,264.400625,-3.245917,-9.1,6.31E+05,3.5,
NGC6440,5,267.219458,-20.359583,-8.8,5.89E+05,1.2,
NGC6441,5,267.554417,-37.051444,-9.6,1.45E+06,2,18
NGC6496,5,269.765333,-44.265944,-7.2,5.75E+04,3.4,
NGC6535,5,270.960458,-0.297639,-4.8,3.39E+03,1.7,2.4
NGC6528,5,271.206708,-30.055778,-6.6,1.20E+05,0.9,
NGC6539,5,271.20725,-7.585861,-8.3,3.02E+05,4.2,
