Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC3379,EsS0s,161.956665,12.58163,-20.9,6.44E+10,2351.9,213.3
NGC3384,EsS0s,162.070404,12.6293,-20.6,3.13E+10,2002.9,161.4
NGC3412,EsS0s,162.722137,13.412142,-19.6,9.31E+09,1592.1,105.2
NGC3414,EsS0s,162.817673,27.974968,-21.1,1.10E+11,3620.3,231.7
NGC3457,EsS0s,163.702591,17.621157,-19,5.09E+09,1137,77.4
NGC3458,EsS0s,164.006042,57.11697,-20.2,3.79E+10,1407.8,179.1
NGC3489,EsS0s,165.077454,13.901258,-20.1,1.10E+10,1278.7,106.7
NGC3522,EsS0s,166.668549,20.085621,-18.8,1.52E+10,1734.3,102.6
NGC3595,EsS0s,168.856461,47.447147,-20.4,4.63E+10,2403.8,160.7
NGC3599,EsS0s,168.862305,18.110369,-19.3,9.25E+09,2699.2,74.8
NGC3605,EsS0s,169.19426,18.017141,-18.9,1.00E+10,1264.1,92.5
NGC3607,EsS0s,169.227737,18.051809,-21.8,2.10E+11,4897,229.1
NGC3608,EsS0s,169.245697,18.148531,-20.7,8.22E+10,3205.4,193.2
NGC3610,EsS0s,169.605316,58.786247,-20.8,4.54E+10,1712.5,175.4
NGC3613,EsS0s,169.650543,57.999924,-21.4,1.69E+11,3399.1,212.3
NGC3619,EsS0s,169.840088,57.757683,-20.7,6.71E+10,4146.8,166.3
NGC3626,EsS0s,170.015808,18.356791,-20.4,2.72E+10,2326,136.1
NGC3630,EsS0s,170.070786,2.96417,-20.2,3.21E+10,1275,174.2
NGC3640,EsS0s,170.278549,3.234764,-21.7,1.43E+11,4903.8,184.9
NGC3641,EsS0s,170.286621,3.194489,-18.9,2.31E+10,1465.1,174.2
NGC3648,EsS0s,170.631195,39.876972,-20.1,4.02E+10,1880.9,189.2
NGC3658,EsS0s,170.992706,38.562424,-20.5,4.80E+10,3358.3,164.4
NGC3665,EsS0s,171.181793,38.762791,-22,3.22E+11,7004.9,224.9
NGC3674,EsS0s,171.61087,57.04829,-20.3,6.24E+10,1521.7,221.8
NGC3694,EsS0s,172.225571,35.413857,-19.4,6.79E+09,1644.8,78
NGC3757,EsS0s,174.261765,58.415649,-19.2,1.74E+10,864.3,147.9
NGC3941,EsS0s,178.230667,36.986378,-20.1,2.19E+10,1435.9,139.3
NGC3945,EsS0s,178.30719,60.67556,-21.4,8.77E+10,3342.4,182.8
NGC3998,EsS0s,179.484039,55.453564,-20.4,7.71E+10,1593.3,278.6
NGC4026,EsS0s,179.85495,50.961689,-20.1,3.46E+10,1250.7,190.1
NGC4036,EsS0s,180.362045,61.895699,-21.5,1.45E+11,3065.6,188.8
NGC4078,EsS0s,181.198456,10.595537,-20.1,5.81E+10,1608.8,174.6
NGC4111,EsS0s,181.763031,43.065392,-20.4,4.21E+10,1106.4,158.9
NGC4119,EsS0s,182.040176,10.37872,-19.7,1.87E+10,3289,59
NGC4143,EsS0s,182.40036,42.534218,-20.2,3.61E+10,1351.8,216.8
NGC4150,EsS0s,182.640228,30.401487,-18.7,7.19E+09,1243.6,88.1
NGC4168,EsS0s,183.071808,13.205354,-21.1,1.49E+11,5158.6,174.2
NGC4179,EsS0s,183.217087,1.299673,-20.3,5.07E+10,1531.3,183.7
NGC4191,EsS0s,183.459915,7.200842,-20.2,3.79E+10,2721.8,134
NGC4203,EsS0s,183.770935,33.197243,-20.5,4.01E+10,2740.9,159.2
NGC4215,EsS0s,183.977142,6.401132,-20.5,5.19E+10,2264,140.3
NGC4233,EsS0s,184.282043,7.624434,-21,9.16E+10,2635,217.3
NGC4249,EsS0s,184.49765,5.59872,-19.1,3.98E+09,2756,76.7
NGC4251,EsS0s,184.534607,28.175299,-20.8,3.72E+10,1916.9,137.1
NGC4255,EsS0s,184.7341,4.785923,-20.1,4.90E+10,1620.8,179.9
NGC4259,EsS0s,184.842468,5.376242,-19.3,7.82E+09,1455.9,114.8
NGC4261,EsS0s,184.846924,5.82471,-22.3,4.10E+11,6685.4,294.4
NGC4262,EsS0s,184.877426,14.877717,-19.7,3.00E+10,869.2,195
NGC4264,EsS0s,184.899078,5.846804,-20.1,2.61E+10,2430,105
NGC4267,EsS0s,184.938675,12.798356,-20.3,3.33E+10,2885.6,156
NGC4268,EsS0s,184.946762,5.28365,-20.1,4.30E+10,1952.7,156.3
NGC4270,EsS0s,184.955978,5.463371,-20.8,5.57E+10,2911.5,142.2
NGC4278,EsS0s,185.02832,29.280619,-20.9,9.57E+10,2527.5,248.3
NGC4281,EsS0s,185.089691,5.38643,-21.1,1.66E+11,2897.1,256.4
NGC4283,EsS0s,185.086609,29.310898,-18.9,1.06E+10,883.6,119.7
NGC4324,EsS0s,185.775726,5.250488,-19.7,1.11E+10,1524.3,93.1
NGC4339,EsS0s,185.895599,6.081713,-19.6,2.70E+10,2315.8,123.9
NGC4340,EsS0s,185.897141,16.722195,-20.1,2.82E+10,3276.4,107.2
NGC4342,EsS0s,185.912598,7.053936,-19.2,3.33E+10,457.1,252.9
NGC4346,EsS0s,185.866425,46.993881,-19.6,1.88E+10,1260.6,145.2
NGC4350,EsS0s,185.990891,16.693356,-20.2,4.63E+10,1265,199.5
NGC4365,EsS0s,186.117615,7.31752,-22.3,2.97E+11,6775.3,255.9
NGC4371,EsS0s,186.230957,11.704288,-20.5,5.04E+10,2884.2,138.7
NGC4374,EsS0s,186.265747,12.88696,-22.2,3.39E+11,5492.2,288.4
NGC4377,EsS0s,186.301285,14.762218,-19.5,1.04E+10,1253.1,145.9
NGC4379,EsS0s,186.311386,15.607498,-19.3,1.86E+10,1436.3,117.2
NGC4382,EsS0s,186.35022,18.19108,-22.2,1.81E+11,7185,183.7
NGC4387,EsS0s,186.423813,12.810359,-19.2,1.52E+10,1316.5,105.7
NGC4406,EsS0s,186.549225,12.94597,-22.1,3.66E+11,10136.4,216.8
NGC4417,EsS0s,186.710938,9.584117,-20,2.97E+10,1516,152.4
