objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,snMedian,clean,h_m_2mass,j_m_2mass,k_m_2mass,classification,w1mag,w2mag,w3mag,w4mag
1237657775545188386,140.322511230146,43.2988433698619,0.005573771,0,0.004495407,0.0002054562,17.53863,16.67465,16.42159,16.33738,16.30505,0.9125139,0.477493,38.85952,1,15.295,15.53,15.075,6,15.387,15.644,12.38,8.463
1237660583367868543,146.181300824515,7.24495428677998,1.813607E-06,0,4.466153E-05,0.0004443011,18.392,17.42641,17.13821,17.01716,17.01269,1.24322,0.6315559,25.57089,1,15.74,16.402,15.783,6,16.13,16.018,12.054,8.141
1237667111724449826,146.121699973993,25.6429183886056,0.05107944,1,0.06354178,0.0007468129,18.55818,17.50409,17.19057,17.07008,17.06784,1.132893,0.5759597,29.64045,1,15.778,16.513,15.661,6,14.952,14.859,12.232,8.456
1237667212674203718,177.861504259495,30.7199544919492,1.152359E-06,1,4.311085E-05,0.0003253191,17.50394,16.60344,16.34971,16.24901,16.25603,0.9732295,0.501002,43.91067,1,15.148,15.487,15.15,6,15.065,15.113,12.261,8.11
1237667911132446824,190.843749932283,24.5515732719356,0.03876642,0.7094688,0.05644758,0.0004179867,18.27153,17.37206,17.07023,17.01374,16.98284,1.066491,0.5422252,42.33733,1,15.99,16.283,15.34,6,16.055,15.779,12.495,8.664
1237648704047284275,199.518279560415,-0.390291909690725,0.02555155,0.3442175,0.03689887,0.0004161918,18.27035,17.14489,16.66707,16.47822,16.40206,1.253371,0.6398413,53.95497,1,15.08,15.657,15.02,6,14.832,14.928,11.896,8.028
1237651203695378441,200.350862637337,-0.168683404541287,0.0001726886,0,0.001287199,0.0004477051,18.90014,17.85463,17.49367,17.37904,17.37167,1.310609,0.6643584,25.54602,1,15.917,16.695,15.581,6,16.053,15.605,12.368,8.191
1237648704584089667,199.399896727436,0.205845430833261,0,0,3.501324E-06,0.0002744734,18.96098,17.40032,16.77698,16.54749,16.43402,1.335893,0.6749274,45.03099,1,15.111,15.497,14.997,6,14.941,15.233,12.059,8.255
1237648705121222714,199.981093889852,0.586593322215349,0,1,5.085864E-05,0.0002911273,18.94462,17.92361,17.48469,17.3224,17.23572,1.251069,0.6452565,40.43525,1,16.176,16.306,15.938,6,15.805,15.581,11.877,10.323
1237648722849890313,199.455116257706,1.06937490410861,0.04748328,0.9923369,0.07081506,0.0006437452,18.90255,17.88571,17.39623,17.18666,17.06616,1.641872,0.8336281,36.1982,1,15.759,16.138,15.462,6,15.825,15.512,12.105,8.154
1237651735228514375,199.233274488236,1.44982951638398,0.009693287,0.8922513,0.01593325,0.0003143106,16.61103,15.68097,15.35901,15.23667,15.19392,1.153268,0.5978115,56.52715,1,14.08,14.319,13.856,6,13.951,14.221,12.055,8.638
1237655742405738530,219.120916016924,5.04361316654484,0.08824339,0.6276698,0.1375004,0.0007033326,18.42807,17.55171,17.25265,17.13298,17.07289,1.515846,0.7589503,35.99084,1,15.95,16.465,14.948,6,16.273,15.818,12.578,8.435
1237652900744921097,352.56302150221,-9.76741441163439,0.04724909,0,0.05631105,0.0002504083,18.39678,17.25099,16.80995,16.65968,16.5798,1.505356,0.7511083,74.31764,1,15.451,15.761,15.282,6,15.099,14.824,11.924,8.295
1237652900236558346,58.3364519105577,-6.36489908123315,0.01929869,1,0.02619183,0.0007984979,19.01949,18.01566,17.51105,17.30455,17.22136,1.196065,0.608589,38.87743,1,16.055,16.22,15.534,6,15.028,14.92,11.691,8.04
1237646797063193428,119.742292007371,0.159400930431236,0.00938903,0.9202337,0.0082951,0.0002393908,19.72398,17.5277,16.63629,16.32903,16.15121,1.165237,0.5970708,47.75555,1,14.413,15.063,14.418,6,14.073,14.029,12.348,8.679
1237646797600064361,119.816278945807,0.489840528104882,0.0001826929,0,0.0004882384,0.0002311077,20.35547,18.23082,17.28008,16.9617,16.81973,1.168172,0.6007807,35.65579,1,15.213,15.722,14.929,6,15.275,15.464,12.19,8.579
1237667781732860394,119.273153372416,8.87460934921914,0.006042071,0.7870738,0.01088182,0.0008381747,18.53515,17.23787,16.67818,16.4325,16.3288,1.133173,0.5835804,62.16849,1,14.95,15.452,14.583,6,14.758,14.852,11.985,8.259
1237667782806798578,119.294314452685,9.89270443098795,0.0584836,0,0.08152674,0.0006377298,18.37529,17.3553,16.92857,16.76166,16.69301,1.067534,0.5449716,43.54749,1,15.424,15.762,15.245,6,14.84,14.784,12.084,8.445
1237664669499392031,131.423188007225,27.3724557859509,0.01592856,0.9996206,0.02098861,0.0004539571,17.89471,16.84137,16.46013,16.31829,16.2815,1.505832,0.75709,40.56873,1,15.017,15.45,15.27,6,15.173,15.021,11.677,8.289
1237667210509877431,136.564448457899,20.2390681888618,0.009973428,1,0.01218424,0.00115222,17.60005,16.64905,16.36296,16.26059,16.23962,1.022709,0.5252625,44.981,1,15.331,15.426,14.861,6,14.658,14.506,11.531,8.072
1237650795678990359,136.640406886029,-0.326856681325193,0.0001261174,0,3.197534E-06,0.0006734959,17.45839,16.50218,16.20296,16.07654,16.03925,1.194406,0.6167567,38.96759,1,14.968,15.256,14.718,6,14.738,14.916,12.311,8.579
1237660411578024134,142.224074962402,6.94013503174664,0.01278239,1,0.01606917,0.0004083564,20.05642,18.60601,17.99197,17.79797,17.66856,1.18447,0.6051156,30.46663,1,16.321,16.553,15.803,6,16.295,15.73,12.244,8.283
1237660411577630834,141.300063431494,6.81555022794369,0.05451906,1,0.06832123,0.0002281951,19.24142,17.82707,17.24373,17.03006,16.93643,1.073593,0.5406871,25.54774,1,15.653,15.954,15.406,6,15.622,15.559,12.121,8.491
1237660412114829447,142.008344567488,7.21176482107484,0.002552559,0,0.01570939,0.0002632867,17.75039,16.54047,16.08352,15.90242,15.84042,1.135146,0.5736458,43.21537,1,14.696,14.977,14.497,6,14.533,14.488,11.958,8.678
1237658492263071800,142.442461474947,7.12720669969598,1.710304E-05,1,0.0002221994,0.0004969534,19.19008,17.52381,16.85742,16.58381,16.43013,1.348172,0.6760343,30.46169,1,14.884,15.422,14.772,6,14.73,15.024,12.102,8.51
1237660412651831354,142.238618156585,7.58818529013632,0.04618434,1,0.07040621,0.0002962566,18.98049,17.46544,16.87667,16.64179,16.49277,1.127368,0.5678717,34.42051,1,15.046,15.403,15.1,6,14.787,14.961,11.672,8.166
1237660413188243511,141.174836653738,7.92861506362364,0.06800808,1,0.08332101,0.0002845165,18.27251,16.64252,16.01709,15.78858,15.64701,1.000917,0.5138791,42.03052,1,14.255,14.683,14.081,6,13.836,13.775,11.591,8.055
1237660412651765807,142.093364619733,7.74245761701424,8.259577E-06,0,6.115764E-05,0.0002378042,17.16941,15.81378,15.27146,15.07907,14.99008,1.100723,0.5571192,49.2337,1,13.652,14.1,13.593,6,13.582,13.702,12.112,8.226
1237664132631101495,166.587684642348,15.0939710435812,0,0,7.080831E-07,0.0003385237,18.5953,17.59052,17.19201,17.01444,16.96377,1.271863,0.643719,30.58594,1,15.821,16.072,15.501,6,15.316,15.12,11.969,8.507
1237664289923989655,174.560250847996,14.3378973242229,0.008045976,1,0.01008175,0.0006811508,20.17922,18.75554,18.25319,18.01882,17.93978,0.9813563,0.5041417,26.81927,1,16.277,16.836,16.297,6,16.887,15.543,11.731,8.494
