objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,theta,effective50_radius,Surface_area_logged,veldisp,vdisp_median,vdisp_median1,Ports_passive_mass,GranadaFSPS_mass,WiscBC03_mass,Wiscm11_mass,Flux_OIII_5006,Flux_Hb_4861,Flux_NII_6583,Flux_Ha_6562,Flux_SII_6716,Flux_SII_6730,Flux_OI_6300,snMedian,bpt,clean
1237651067887812865,172.490142028578,65.6346188642166,1.48027,1,1.00965,0.04392692,19.832,18.34993,17.70027,17.36238,17.11138,3.11061,1.388907,1.48027,1.438584,0.813020143789545,43.87742,87.0535445213318,70.840892791748,9.48,9.39690669379318,9.47420641110512,9.49687473491213,85.3723,31.76667,26.24641,97.43831,11.95922,13.14143,6.93109,12.27146,Composite,1
1237667910051364960,172.601176448526,23.3667414303617,0.6176534,0.9477019,0.6344017,0.02395552,18.63828,17.67787,17.12114,16.8797,16.69436,2.112204,1.032037,0.6185293,0.3278156,-0.471591083425774,63.67097,106.209979057312,77.3055481910706,9.17,9.25694571789789,9.10426339143305,9.05885915126419,327.3298,471.1716,678.6829,1538.575,153.6864,145.1001,19.20427,26.58327,Star Forming,0
1237665025974468842,172.871680198953,35.1663857201852,1.139979,0.9605233,0.8506132,0.03368681,19.80102,18.39302,17.66569,17.32014,17.10523,2.686413,1.2735,1.128556,0.8410977,0.34684268604648,27.06858,85.558979511261,99.2031574249268,9.24,9.37968157669274,9.63095178949879,9.5467403436196,333.1365,172.9111,159.0519,501.0339,109.2751,88.61344,25.11196,12.53107,Composite,1
1237648721764810846,173.557269733432,0.309464012425649,1.511988,0.4796668,1.168164,0.02806342,19.09491,17.65291,17.111,16.82319,16.61188,2.88562,1.367523,1.333085,0.8276791,0.332873757524169,22.16692,86.3449764251709,74.8687863349915,9.37,9.19024736891154,9.2472438549521,9.28002918246784,26.21442,36.7973,46.89819,120.3243,38.16977,21.26321,8.079933,24.42922,Star Forming,1
1237667323790753935,177.002724056262,27.82948906152,0.7581996,1,0.6619859,0.02930818,19.42965,18.14432,17.74983,17.53171,17.36941,2.486442,1.123613,0.7581996,0.4916274,-0.119578119798839,64.53284,86.3143539428711,69.2812097072601,9.14,8.80043652358584,8.74412427288189,8.75607153217788,41.82292,26.4477,23.23101,58.14385,18.68292,5.299156,0,15.83934,Composite,1
1237667914343383245,177.260967079126,18.8532101346137,19.64413,0,7.469,0.01924318,18.22687,16.99624,16.44449,16.19864,16.03376,12.51085,5.927896,7.469,3.179823,1.50195558847632,13.63545,103.596620559692,95.0203371047974,9.26,9.01568502729241,9.36867543718836,9.29324761996031,15.48844,13.07708,14.23204,28.55336,14.62592,9.028867,2.191597,6.479631,Composite,0
1237667254550134916,178.286044513429,30.1874551714456,0.7575489,0.8256124,0.7730297,0.0215518,19.03649,17.71372,17.14964,16.87338,16.65919,2.419518,1.141094,0.7602485,0.3624957,-0.384244593139551,17.14991,86.5693950653076,67.9788208007813,9.07,8.98987261056031,9.00571695136023,9.02197516387241,140.1456,217.5674,285.5359,650.7388,140.2803,108.4599,32.65281,22.63811,Star Forming,1
1237661950788698148,178.496108140399,13.1482389697388,1.527145,0.9412497,1.284695,0.02260602,18.96109,17.49058,16.75949,16.38313,16.11499,3.246124,1.493918,1.512901,0.7566555,0.254946116735452,62.98785,78.6223387718201,61.4784967899323,9.27,9.57443195305603,9.54726525797741,9.50519234218518,258.5544,141.3344,109.6884,380.3276,69.02973,49.99937,22.48653,25.25391,Star Forming,1
1237667444042629216,179.322793755627,28.1190524649484,9.894094,0,4.53494,0.0221296,18.63081,17.24904,16.58463,16.22794,15.93729,6.932769,3.219403,4.53494,2.220285,1.18996711492083,0,84.3428039550781,65.677342414856,9.33,9.61286944528447,9.65370041807182,9.57397988918819,22.23687,49.17714,61.49751,127.9796,39.71334,23.17578,12.01695,15.19826,Star Forming,1
1237661353779789833,179.552242639184,57.8894222064943,1.227255,0.8338998,1.144797,0.04149056,19.49189,18.23028,17.69329,17.37387,17.17413,2.817617,1.356038,1.213559,1.113971,0.590897548402348,18.60618,104.565162658691,73.8962292671204,9.46,9.40839412870256,9.42452574672643,9.37005845953536,223.5856,92.91375,78.51264,289.9066,61.5836,47.1993,22.94641,13.16229,Star Forming,1
1237657627917221959,179.843086361653,51.3025177652741,1.506597,1,1.032435,0.02966616,19.95831,18.37688,17.60656,17.27294,16.99536,3.505231,1.530251,1.506597,0.9888311,0.487394018993908,19.45675,80.6206274032593,67.8151571750641,9.15,9.23474384337469,9.3914006370469,9.39489879450412,131.9206,50.475,28.14035,120.2126,20.81433,13.73939,7.884037,13.51556,Star Forming,1
1237661433770868998,182.982009638429,46.9818292985064,29.67023,0,15.88006,0.0032868,17.57841,16.40757,15.9156,15.77199,15.69612,26.03723,10.41942,15.88006,1.154753,0.622127957979848,0,121.129150390625,109.453797340393,7.86,7.57555580969968,8.08267689103911,8.07829384428783,106.1561,40.39324,15.58042,84.96609,26.61425,18.39482,9.155346,3.305521,Star Forming,1
