Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC4365_GC12 ,186.09714,7.29057,1602,13,23.299,0.025,22.5,0.019,22.184,0.019
NGC4365_GC13 ,186.09968,7.27675,820,5,21.418,0.017,20.799,0.013,20.548,0.012
NGC4365_GC14 ,186.10021,7.25689,1136,6,21.891,0.018,21.179,0.014,20.867,0.013
NGC4365_GC15 ,186.10099,7.31699,1500,14,23.114,0.026,22.485,0.022,22.191,0.023
NGC4365_GC16 ,186.1036,7.26386,1216,12,23.615,0.027,22.819,0.021,22.505,0.02
NGC4365_GC17 ,186.10518,7.30738,1633,5,21.526,0.018,20.82,0.014,20.485,0.012
NGC4365_GC18 ,186.10589,7.29874,1444,13,22.489,0.02,21.955,0.017,21.69,0.017
NGC4365_GC19 ,186.11253,7.29929,971,6,22.214,0.019,21.582,0.015,21.344,0.015
NGC4365_GC20 ,186.11347,7.27661,1492,10,23.131,0.023,22.357,0.018,22.003,0.017
NGC4365_GC21 ,186.11401,7.32869,539,7,22.401,0.02,21.674,0.016,21.314,0.016
NGC4365_GC22 ,186.11486,7.24811,777,10,22.36,0.019,21.665,0.015,21.303,0.014
NGC4365_GC23 ,186.1208,7.33315,906,18,23.819,0.039,23.058,0.029,22.656,0.032
NGC4365_GC24 ,186.12203,7.31087,1360,9,22.565,0.023,21.784,0.018,21.445,0.023
NGC4365_GC25 ,186.12228,7.33088,1117,7,21.811,0.019,21.113,0.014,20.811,0.014
NGC4365_GC26 ,186.12327,7.28679,1383,5,20.851,0.016,20.249,0.013,19.998,0.012
NGC4365_GC27 ,186.12529,7.3368,1015,6,21.436,0.017,20.651,0.013,20.271,0.012
NGC4365_GC28 ,186.12534,7.26989,1112,11,22.654,0.02,21.988,0.016,21.698,0.016
NGC4365_GC29 ,186.12687,7.314,1385,5,21.086,0.017,20.401,0.013,20.059,0.012
NGC4365_GC30 ,186.12804,7.29627,1038,6,22.277,0.019,21.511,0.015,21.157,0.014
NGC4365_GC31 ,186.12922,7.32441,1598,5,21.748,0.019,21.046,0.014,20.744,0.014
NGC4365_GC32 ,186.12927,7.33157,1160,8,22.126,0.019,21.381,0.015,21.024,0.014
NGC4365_GC33 ,186.12969,7.32596,1110,7,22.173,0.02,21.463,0.015,21.117,0.016
NGC4365_GC34 ,186.1323,7.34221,1267,5,21.754,0.018,21.022,0.014,20.694,0.013
NGC4365_GC35 ,186.13757,7.34786,1297,12,21.93,0.018,21.201,0.014,20.89,0.014
NGC4365_GC36 ,186.1383,7.36039,1010,32,22.613,0.02,21.959,0.016,21.678,0.016
NGC4365_GC37 ,186.01628,7.17341,1603,27,23.313,0.024,22.723,0.02,22.534,0.021
NGC4365_GC38 ,186.01642,7.15219,520,10,23.065,0.022,22.339,0.018,22.092,0.017
NGC4365_GC39 ,186.01521,7.16012,1226,25,23.237,0.024,22.66,0.02,22.509,0.021
NGC4365_GC40 ,186.02467,7.14679,1229,18,23.824,0.029,22.995,0.022,22.613,0.022
NGC4365_GC41 ,186.05733,7.18208,625,6,21.722,0.018,21.132,0.014,20.96,0.014
NGC4365_GC42 ,186.064,7.22436,735,5,21.661,0.018,21.022,0.014,20.798,0.013
NGC4365_GC43 ,186.06127,7.16726,1041,14,24.022,0.032,23.451,0.029,23.266,0.03
NGC4365_GC44 ,186.06854,7.24651,1080,8,22.133,0.019,21.588,0.015,21.396,0.014
NGC4365_GC45 ,186.06978,7.22023,1240,12,23.215,0.023,22.617,0.019,22.382,0.019
NGC4365_GC46 ,186.07825,7.23204,1340,13,22.713,0.02,22.176,0.017,21.975,0.017
NGC4365_GC47 ,186.08258,7.20904,1215,11,23.426,0.025,22.713,0.02,22.444,0.019
NGC4365_GC48 ,186.07336,7.20169,1177,5,21.433,0.017,20.858,0.013,20.634,0.012
