Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC2768_GC19  ,137.78292,60.02758,1198,14,22.044,0.027,21.62,0.022,21.557,0.033
NGC2768_GC20  ,137.774552,59.997801,1444,9,22.153,0.031,21.735,0.022,21.539,0.031
NGC2768_GC21  ,137.920906,60.026537,984,17,22.273,0.032,21.779,0.023,21.643,0.033
NGC2768_GC22  ,137.877984,60.024657,1228,30,22.996,0.06,22.827,0.044,22.545,0.073
NGC2768_GC23  ,137.845147,60.024817,1352,10,22.028,0.029,21.843,0.022,21.626,0.033
NGC2768_GC24  ,137.830507,60.028445,1282,15,22.967,0.058,22.677,0.042,22.169,0.062
NGC2768_GC25  ,137.87269,60.035393,1072,19,22.599,0.05,22.493,0.037,22.117,0.052
NGC2768_GC26  ,138.030397,59.96032,1486,10,21.428,0.02,21.166,0.014,20.892,0.02
NGC2768_GC27  ,137.989398,59.966563,1493,19,22.331,0.033,21.834,0.023,21.915,0.038
NGC2768_GC28  ,137.955215,60.025347,1300,11,21.495,0.02,21.199,0.015,21.059,0.021
NGC2768_GC29  ,137.888544,60.059867,1386,10,21.917,0.025,21.514,0.018,21.291,0.026
NGC2768_GC30  ,137.797775,60.092672,1335,13,22.137,0.029,21.783,0.022,21.493,0.031
NGC2768_GC31  ,137.711284,60.075844,1201,13,21.276,0.017,20.899,0.012,20.669,0.017
NGC2768_GC32  ,137.908718,60.014211,1729,12,22.476,0.036,22.148,0.027,21.975,0.038
NGC2768_GC33  ,137.929695,60.016261,1166,23,23.554,0.079,22.817,0.054,22.533,0.073
NGC2768_GC34  ,137.899711,60.018904,1005,9,21.76,0.023,21.323,0.016,21.029,0.023
NGC2768_GC35  ,137.869161,60.036559,1077,19,22.418,0.035,22.19,0.029,22.089,0.042
NGC2768_GC36  ,137.848195,60.039838,1363,24,22.993,0.065,22.679,0.042,22.609,0.071
NGC2768_GC37  ,137.846832,60.050339,1392,33,23.137,0.059,22.946,0.05,22.783,0.08
NGC2768_GC38  ,137.971573,60.059211,1296,13,21.592,0.021,21.237,0.015,20.941,0.019
NGC2768_GC39  ,137.94689,60.052176,1534,32,22.454,0.035,22.188,0.028,21.825,0.045
NGC2768_GC40  ,137.776185,60.045541,1324,13,22.389,0.033,22.043,0.025,21.832,0.039
NGC2768_GC41  ,137.754421,60.040519,1189,29,23.277,0.066,22.81,0.04,22.631,0.066
NGC2768_GC42  ,137.600796,60.031093,1386,16,22.052,0.029,21.806,0.022,21.533,0.034
NGC2768_GC43  ,137.86536,60.022791,1145,44,23.043,0.058,22.828,0.042,22.275,0.062
NGC2768_GC44  ,137.861788,60.042644,1494,19,22.474,0.041,22.17,0.034,22.152,0.052
NGC2768_GC45  ,137.914928,60.049559,1581,25,22.414,0.039,21.785,0.027,21.842,0.042
NGC2768_GC46  ,137.916077,60.049566,1534,16,22.272,0.031,21.737,0.022,21.653,0.039
NGC2768_GC47  ,137.907468,60.049524,1366,27,22.529,0.043,22.244,0.031,21.997,0.048
NGC2768_GC48  ,137.857825,60.054655,1407,15,22.844,0.046,22.753,0.039,22.562,0.062
NGC2768_GC49  ,137.876524,60.044881,1404,12,22.729,0.049,23.177,0.046,23.17,0.099
NGC2768_GC50  ,137.90589,60.025793,1347,10,22.224,0.036,21.881,0.026,21.538,0.032
NGC2768_GC51  ,137.830289,60.051231,1428,12,22.846,0.051,22.649,0.037,22.303,0.049
NGC2768_GC52  ,137.852392,59.999,1477,13,23.131,0.052,22.593,0.04,22.437,0.049
NGC2768_GC53  ,138.043997,60.027718,1444,10,22.813,0.046,22.576,0.038,22.444,0.063
NGC2768_GC54  ,138.01126,59.992037,1469,14,23.16,0.056,22.522,0.043,22.429,0.068
NGC2768_GC55  ,137.998951,60.017893,1356,17,23.746,0.088,23.388,0.062,23.231,0.095
NGC2768_GC56  ,137.991348,60.031798,1330,8,22.37,0.037,22.115,0.028,21.995,0.043
NGC2768_GC57  ,137.985212,60.046889,1419,10,22.788,0.043,22.216,0.034,22.048,0.049
NGC2768_GC58  ,137.972327,60.036149,1191,13,23.304,0.065,22.711,0.052,22.495,0.071
NGC2768_GC59  ,137.961346,60.03549,1456,20,23.291,0.073,22.923,0.052,22.65,0.073
NGC2768_GC60  ,137.955611,60.027491,1231,13,23.028,0.049,22.698,0.038,22.556,0.056
NGC2768_GC61  ,137.95224,60.034799,1432,12,22.852,0.045,22.431,0.035,22.169,0.048
NGC2768_GC62  ,137.943758,60.031238,1611,6,21.815,0.024,21.431,0.017,21.193,0.026
NGC2768_GC63  ,137.937009,60.038727,1457,8,22.148,0.028,21.832,0.021,21.537,0.031
NGC2768_GC64  ,137.82111,60.054136,1067,11,22.916,0.05,22.489,0.036,22.265,0.054
NGC2768_GC65  ,137.809624,60.038581,1153,10,23.117,0.053,22.379,0.04,22.174,0.055
NGC2768_GC66  ,137.796915,60.033663,1328,9,23.146,0.062,22.678,0.047,22.549,0.068
NGC2768_GC67  ,137.757566,60.01073,1370,10,22.836,0.044,22.526,0.037,22.48,0.057
NGC2768_GC68  ,137.752815,60.029596,1493,15,23.245,0.068,22.852,0.046,22.56,0.07
NGC2768_GC69  ,137.784929,60.048725,1185,6,21.408,0.019,21.116,0.014,21.005,0.021
NGC2768_GC70  ,137.8832,60.027401,1521,16,22.708,0.042,22.242,0.029,22.066,0.043
NGC2768_GC71  ,137.868627,60.047627,1095,11,22.164,0.032,21.992,0.024,21.693,0.035
NGC2768_GC72  ,137.911255,60.04928,1414,14,22.046,0.028,21.585,0.019,21.264,0.029
NGC2768_GC73  ,137.885949,60.053191,1020,10,21.822,0.024,21.545,0.019,21.32,0.03
NGC2768_GC74  ,137.888658,60.021732,1184,13,22.232,0.033,21.896,0.025,21.877,0.04
NGC2768_GC75  ,137.876428,60.019745,1505,8,21.358,0.018,20.953,0.012,20.764,0.017
NGC2768_GC76  ,137.870165,60.032833,1211,42,23.336,0.069,22.747,0.047,22.637,0.077
NGC2768_GC77  ,137.951551,60.056144,1035,13,22.252,0.035,22.11,0.028,21.902,0.045
NGC2768_GC78  ,137.945759,60.058894,1214,15,22.832,0.051,22.443,0.037,22.133,0.058
NGC2768_GC79  ,137.926632,60.167281,1334,18,22.669,0.043,22.223,0.036,22.124,0.046
NGC2768_GC80  ,137.922279,59.999791,1353,13,22.471,0.042,22.153,0.028,21.688,0.04
NGC2768_GC81  ,137.868186,59.991617,1387,13,22.684,0.042,22.183,0.033,22.119,0.052
NGC2768_GC82  ,137.855634,59.971655,1281,21,22.703,0.04,22.338,0.035,22.227,0.055
NGC2768_GC83  ,137.853143,59.993789,1393,21,22.557,0.037,22.267,0.031,22.256,0.052
NGC2768_GC84  ,137.84595,59.996357,1072,18,22.403,0.035,22.102,0.03,21.777,0.039
NGC2768_GC85  ,137.897871,60.041278,1254,33,22.662,0.021,22.321,0.01,22.056,0.011
NGC2768_GC86  ,137.893408,60.041106,1391,13,21.806,0.03,21.155,0.01,20.69,0.01
NGC2768_GC87  ,137.90715,60.044614,1151,28,22.836,0.05,22.575,0.01,22.41,0.021
NGC2768_GC88  ,137.92385,60.030561,1654,23,22.656,0.012,22.275,0.01,21.99,0.046
NGC2768_GC89  ,137.902313,60.0304,1127,18,22.043,0.021,21.672,0.01,21.477,0.025
NGC2768_GC90  ,137.913842,60.032808,1420,14,22.339,0.042,21.758,0.01,21.383,0.031
NGC2768_GC91  ,137.887163,60.038489,1334,26,22.525,0.014,21.944,0.01,21.589,0.033
NGC2768_GC92  ,137.910838,60.030972,1280,12,22.019,0.009,21.658,0.01,21.513,0.04
NGC2768_GC93  ,137.886671,60.030369,1200,17,23.056,0.03,22.355,0.01,21.89,0.01
NGC2768_GC94  ,137.89425,60.032056,1253,23,23.817,0.034,23.506,0.01,23.311,0.011
NGC2768_GC95  ,137.896667,60.038014,1253,10,20.949,0.022,20.408,0.01,20.083,0.031
NGC2768_GC96  ,137.911892,60.035408,1373,18,21.922,0.019,21.551,0.01,21.306,0.07
NGC2768_GC97  ,137.921233,60.032817,1741,11,22.673,0.043,22.162,0.01,21.807,0.051
NGC2768_GC98  ,137.892975,60.031814,1250,5,21.64,0.011,21.089,0.01,20.724,0.021
NGC2768_GC99  ,137.879367,60.041983,1214,9,22.876,0.077,22.185,0.01,21.76,0.044
NGC2768_GC100 ,137.903133,60.027281,1510,11,23.078,0.027,22.457,0.01,22.032,0.031
NGC2768_GC101 ,137.914433,60.029758,1313,11,21.472,0.033,21.061,0.01,20.866,0.01
NGC2768_GC102 ,137.904421,60.031297,1588,21,22.753,0.034,22.182,0.01,21.967,0.013
NGC2768_GC103 ,137.919342,60.035922,1254,23,22.582,0.055,22.101,0.01,21.866,0.031
NGC2768_GC104 ,137.896617,60.038,1446,31,20.949,0.01,20.408,0.01,20.083,0.044
NGC2768_GC105 ,137.901096,60.042575,1507,13,22.358,0.01,21.827,0.01,21.472,0.021
NGC2768_GC106 ,137.838831,60.000606,1442,21,23.185,0.064,22.975,0.056,22.855,0.008
NGC3115_GC1   ,151.29953,-7.708301,689,7,22.167,0.012,21.342,0.013,20.997,0.012
NGC3115_GC2   ,151.289159,-7.618746,798,11,22.413,0.011,21.869,0.014,21.7,0.014
NGC3115_GC3   ,151.275474,-7.689257,665,7,23.155,0.018,22.388,0.02,22.091,0.018
NGC3115_GC4   ,151.217659,-7.736487,709,6,22.982,0.016,22.241,0.018,21.934,0.016
NGC3115_GC5   ,151.358511,-7.64502,782,5,22.867,0.015,22.105,0.016,21.814,0.015
NGC3115_GC6   ,151.273497,-7.717291,750,10,22.969,0.016,22.178,0.018,21.843,0.017
NGC3115_GC7   ,151.322774,-7.694805,997,7,22.857,0.021,22.094,0.022,21.746,0.02
NGC3115_GC8   ,151.30524,-7.734598,531,6,21.547,0.009,20.83,0.009,20.502,0.01
NGC3115_GC9   ,151.364593,-7.693063,661,6,22.569,0.013,22.005,0.017,21.82,0.016
NGC3115_GC10  ,151.291367,-7.72444,480,8,21.207,0.007,20.601,0.008,20.388,0.009
NGC3115_GC11  ,151.247232,-7.726436,678,5,22.575,0.012,21.954,0.015,21.706,0.014
NGC3115_GC12  ,151.273746,-7.694876,850,5,21.252,0.006,20.526,0.007,20.183,0.006
NGC3115_GC13  ,151.312464,-7.648258,583,9,22.767,0.014,22.195,0.018,21.928,0.016
NGC3115_GC14  ,151.252107,-7.713421,499,5,20.78,0.005,20.174,0.006,19.965,0.005
NGC3115_GC15  ,151.436694,-7.702196,963,18,21.658,0.008,21.098,0.009,20.963,0.009
NGC3115_GC16  ,151.306838,-7.758759,510,8,22.376,0.012,21.783,0.014,21.57,0.014
NGC3115_GC17  ,151.302756,-7.67431,859,7,22.036,0.009,21.369,0.011,21.178,0.01
NGC3115_GC18  ,151.367658,-7.682886,652,6,21.97,0.009,21.246,0.01,20.923,0.009
NGC3115_GC19  ,151.231802,-7.763917,625,5,21.8,0.008,21.272,0.01,21.047,0.009
NGC3115_GC20  ,151.262489,-7.732154,904,8,22.593,0.013,22.071,0.017,21.869,0.017
NGC3115_GC21  ,151.262133,-7.674147,424,6,22.746,0.014,22.041,0.016,21.823,0.016
NGC3115_GC22  ,151.24249,-7.758109,711,5,21.883,0.01,21.142,0.011,20.826,0.01
NGC3115_GC23  ,151.313856,-7.726056,649,11,22.883,0.024,22.156,0.026,21.878,0.029
NGC3115_GC24  ,151.29847,-7.731563,510,5,21.938,0.087,21.187,0.094,20.917,0.078
NGC3115_GC25  ,151.276213,-7.671011,742,7,21.792,0.008,21.235,0.01,21.054,0.01
NGC3115_GC26  ,151.335937,-7.710894,810,5,22.753,0.016,21.958,0.018,21.659,0.017
NGC3115_GC27  ,151.328249,-7.704507,924,5,21.846,0.014,21.274,0.013,21.077,0.014
NGC3115_GC28  ,151.311439,-7.649388,881,5,20.877,0.005,20.109,0.005,19.805,0.005
NGC3115_GC29  ,151.29001,-7.708754,437,5,22.528,0.014,21.782,0.016,21.449,0.015
NGC3115_GC30  ,151.313127,-7.735679,525,6,22.661,0.016,21.961,0.019,21.648,0.02
NGC3115_GC31  ,151.386503,-7.661079,826,7,22.941,0.016,22.198,0.018,21.959,0.018
NGC3115_GC32  ,151.256576,-7.646569,611,8,21.946,0.009,21.346,0.01,21.131,0.01
NGC3115_GC33  ,151.272939,-7.744195,539,7,22.591,0.014,22.035,0.017,21.864,0.018
NGC3115_GC34  ,151.332793,-7.705964,879,7,22.316,0.013,21.462,0.013,21.099,0.012
NGC3115_GC35  ,151.338252,-7.693622,1028,5,19.858,0.003,19.221,0.004,19.012,0.003
NGC3115_GC36  ,151.293028,-7.721406,525,6,22.349,0.017,21.57,0.017,21.183,0.017
NGC3115_GC37  ,151.289525,-7.663932,878,7,22.434,0.012,21.804,0.014,21.634,0.013
NGC3115_GC38  ,151.305009,-7.697021,895,5,21.86,0.009,21.131,0.011,20.866,0.01
NGC3115_GC39  ,151.315776,-7.732765,862,6,22.781,0.017,22.024,0.019,21.696,0.019
NGC3115_GC40  ,151.242728,-7.725242,665,5,21.613,0.007,20.87,0.008,20.552,0.007
NGC3115_GC41  ,151.306511,-7.73634,596,6,21.875,0.011,21.267,0.013,21.023,0.013
NGC3115_GC42  ,151.326706,-7.736413,702,8,21.676,0.008,21.077,0.01,20.865,0.01
NGC3115_GC43  ,151.329273,-7.695902,660,9,21.913,0.012,21.315,0.014,21.09,0.014
NGC3115_GC44  ,151.300641,-7.758852,770,5,22.166,0.011,21.402,0.012,21.049,0.011
NGC3115_GC45  ,151.30291,-7.729558,649,12,67.231,0.485,-1.46,0,2.667,0.406
NGC3115_GC46  ,151.329511,-7.641075,512,5,21.391,0.007,20.847,0.008,20.671,0.008
NGC3115_GC47  ,151.284635,-7.815101,486,7,22.45,0.011,21.718,0.013,21.468,0.012
NGC3115_GC48  ,151.29386,-7.680923,463,7,22.361,0.011,21.65,0.013,21.321,0.011
NGC3115_GC49  ,151.320219,-7.686945,805,5,22.358,0.012,21.569,0.013,21.215,0.012
NGC3115_GC50  ,151.322637,-7.686235,809,5,22.202,0.011,21.617,0.013,21.364,0.013
NGC3115_GC51  ,151.296566,-7.660322,547,6,21.551,0.007,20.788,0.008,20.459,0.007
NGC3115_GC52  ,151.316019,-7.703975,821,8,21.546,0.012,20.699,0.01,20.336,0.011
NGC3115_GC53  ,151.334687,-7.67828,879,5,22.365,0.012,21.745,0.014,21.495,0.013
NGC3115_GC54  ,151.304355,-7.80615,696,6,22.159,0.01,21.406,0.011,21.079,0.009
NGC3115_GC55  ,151.270596,-7.685785,795,7,22.317,0.011,21.73,0.013,21.584,0.013
NGC3115_GC56  ,151.246506,-7.791864,651,5,21.014,0.005,20.256,0.006,19.937,0.005
NGC3115_GC57  ,151.381252,-7.750796,642,7,22.116,0.01,21.369,0.011,21.062,0.01
NGC3115_GC58  ,151.222397,-7.772308,684,5,22.06,0.009,21.329,0.01,21.001,0.009
NGC3115_GC59  ,151.274429,-7.7311,893,7,23.067,0.02,22.338,0.023,22.043,0.024
NGC3115_GC60  ,151.297094,-7.7059,740,5,20.675,0.005,20.062,0.006,19.875,0.005
NGC3115_GC61  ,151.256212,-7.742261,711,5,21.98,0.01,21.45,0.012,21.241,0.012
NGC3115_GC62  ,151.276743,-7.72272,480,5,21.626,0.008,20.863,0.008,20.498,0.007
NGC3115_GC63  ,151.31917,-7.688236,771,7,22.659,0.015,22.106,0.02,21.925,0.02
NGC3115_GC64  ,151.354557,-7.715708,1056,5,21.844,0.009,21.304,0.011,21.159,0.011
NGC3115_GC65  ,151.339893,-7.677216,887,7,22.863,0.017,21.963,0.017,21.549,0.014
NGC3115_GC66  ,151.359512,-7.731451,592,6,21.301,0.006,20.723,0.007,20.525,0.007
NGC3115_GC67  ,151.323095,-7.731152,782,5,21.64,0.008,21.016,0.009,20.771,0.01
NGC3115_GC68  ,151.34057,-7.658001,773,8,22.836,0.015,22.408,0.021,22.165,0.02
NGC3115_GC69  ,151.238711,-7.748375,601,7,22.765,0.014,22.18,0.017,21.935,0.016
NGC3115_GC70  ,151.289666,-7.81287,658,10,22.316,0.01,21.736,0.013,21.566,0.013
NGC3115_GC71  ,151.267896,-7.762677,471,5,22.735,0.015,21.917,0.016,21.547,0.014
NGC3115_GC72  ,151.289548,-7.746073,471,5,22.359,0.013,21.797,0.018,21.587,0.02
NGC3115_GC73  ,151.264034,-7.775244,396,5,21.873,0.008,21.205,0.01,21.041,0.01
NGC3115_GC74  ,151.280808,-7.72809,597,5,21.743,0.009,20.945,0.009,20.601,0.008
NGC3115_GC75  ,151.323373,-7.686665,856,6,22.836,0.017,22.096,0.019,21.858,0.019
NGC3115_GC76  ,151.345741,-7.667215,869,6,22.672,0.014,22.079,0.018,21.93,0.018
NGC3115_GC77  ,151.369107,-7.715737,636,7,23.095,0.019,22.347,0.022,22.027,0.02
NGC3115_GC78  ,151.344057,-7.709771,1192,7,21.979,0.009,21.261,0.01,21.005,0.01
NGC3115_GC79  ,151.339695,-7.69441,706,8,21.235,0.006,20.548,0.007,20.297,0.007
NGC3115_GC80  ,151.340423,-7.692583,579,8,22.523,0.013,21.965,0.017,21.78,0.017
NGC3115_GC81  ,151.282757,-7.731523,803,7,22.875,0.019,22.252,0.024,22.078,0.029
NGC3115_GC82  ,151.336142,-7.62419,983,8,22.336,0.011,21.783,0.013,21.59,0.013
NGC3115_GC83  ,151.308464,-7.738934,601,5,22.505,0.015,21.751,0.017,21.45,0.017
NGC3115_GC84  ,151.310605,-7.704722,586,5,21.484,0.009,20.706,0.009,20.352,0.008
NGC3115_GC85  ,151.297559,-7.733508,628,8,22.598,0.072,21.9,0.075,21.622,0.063
NGC3115_GC86  ,151.367018,-7.790661,593,9,22.029,0.009,21.348,0.01,21.171,0.01
NGC3115_GC87  ,151.362808,-7.674682,899,7,22.939,0.017,22.216,0.02,21.954,0.018
NGC3115_GC88  ,151.322545,-7.625632,773,7,22.581,0.013,21.815,0.013,21.474,0.012
NGC3115_GC89  ,151.330458,-7.738787,580,5,21.057,0.006,20.474,0.007,20.263,0.007
NGC3115_GC90  ,151.332995,-7.683229,603,6,22.804,0.016,22.08,0.019,21.761,0.017
NGC3115_GC91  ,151.323239,-7.690867,539,6,22.345,0.013,21.811,0.017,21.583,0.017
NGC3115_GC92  ,151.26122,-7.781116,637,6,22.242,0.01,21.699,0.013,21.49,0.012
NGC3115_GC93  ,151.318336,-7.705782,959,5,21.437,0.111,20.551,0.091,20.336,0.072
NGC3115_GC94  ,151.286937,-7.680215,825,9,23.203,0.019,22.412,0.02,22.059,0.018
NGC3115_GC95  ,151.373218,-7.668995,703,7,22.819,0.015,22.131,0.017,21.84,0.016
NGC3115_GC96  ,151.337577,-7.811136,482,9,22.745,0.014,22.071,0.016,21.732,0.013
NGC3115_GC97  ,151.279772,-7.719272,885,6,22.913,0.018,22.303,0.022,22.103,0.023
NGC3115_GC98  ,151.326184,-7.716174,407,5,21.406,0.008,20.839,0.009,20.633,0.01
NGC3115_GC99  ,151.286866,-7.760444,837,5,23.127,0.019,22.385,0.022,21.977,0.02
NGC3115_GC100 ,151.338123,-7.7147,980,5,21.645,0.008,21.049,0.009,20.846,0.009
NGC3115_GC101 ,151.271866,-7.724991,562,6,22.711,0.015,22.163,0.02,21.948,0.021
NGC3115_GC102 ,151.299377,-7.78019,467,6,21.21,0.006,20.587,0.007,20.372,0.007
NGC3115_GC103 ,151.330942,-7.698488,949,5,21.074,0.007,20.454,0.008,20.252,0.008
NGC3115_GC104 ,151.292946,-7.757453,441,10,21.584,0.008,20.958,0.009,20.745,0.009
NGC3115_GC105 ,151.280227,-7.678983,627,5,22.432,0.012,21.711,0.013,21.414,0.012
NGC3115_GC106 ,151.310694,-7.654078,614,12,23.218,0.018,22.519,0.021,22.216,0.019
NGC3115_GC107 ,151.297565,-7.749811,426,5,20.394,0.004,19.747,0.005,19.513,0.004
NGC3115_GC108 ,151.299555,-7.758767,582,10,22.774,0.015,21.964,0.017,21.62,0.016
NGC3115_GC109 ,151.289974,-7.700152,697,6,20.263,0.004,19.506,0.004,19.174,0.004
NGC3115_GC110 ,151.318398,-7.734052,844,5,21.372,0.007,20.817,0.008,20.622,0.009
NGC3115_GC111 ,151.180432,-7.712909,663,6,21.828,0.008,21.08,0.009,20.738,0.008
NGC3115_GC112 ,151.345318,-7.684971,809,5,20.913,0.005,20.307,0.006,20.113,0.006
NGC3115_GC113 ,151.28359,-7.704559,798,5,22.024,0.01,21.233,0.01,20.875,0.009
NGC3115_GC114 ,151.303853,-7.745751,428,8,22.909,0.018,22.166,0.02,21.754,0.018
NGC3115_GC115 ,151.406137,-7.664708,808,6,22.058,0.01,21.489,0.012,21.294,0.011
NGC3115_GC116 ,151.313435,-7.733457,841,6,22.449,0.014,21.731,0.016,21.459,0.017
NGC3115_GC117 ,151.327623,-7.67487,573,5,22.038,0.01,21.274,0.011,20.95,0.01
NGC3115_GC118 ,151.335988,-7.690753,910,5,21.676,0.009,20.925,0.009,20.588,0.008
NGC3115_GC119 ,151.220319,-7.743761,503,5,22.211,0.01,21.491,0.011,21.191,0.01
NGC3115_GC120 ,151.279329,-7.701391,662,7,23.092,0.018,22.282,0.02,21.937,0.017
NGC3115_GC121 ,151.312606,-7.808115,708,8,22.361,0.011,21.742,0.013,21.558,0.012
NGC3115_GC122 ,151.270589,-7.736211,519,7,23.441,0.025,22.713,0.03,22.4,0.03
NGC3115_GC123 ,151.347705,-7.680742,970,7,23.151,0.019,22.43,0.022,22.104,0.02
NGC3115_GC124 ,151.309051,-7.732858,729,5,22.55,0.017,21.973,0.02,21.676,0.021
NGC3115_GC125 ,151.31009,-7.667824,794,5,22.75,0.014,22.009,0.016,21.636,0.014
NGC3115_GC126 ,151.353724,-7.73506,650,6,22.608,0.013,21.779,0.015,21.389,0.012
NGC3115_GC127 ,151.290122,-7.729256,673,7,22.63,0.023,21.83,0.022,21.533,0.023
NGC3115_GC128 ,151.329609,-7.773203,762,5,21.3,0.006,20.663,0.007,20.455,0.007
NGC3115_GC129 ,151.324535,-7.626198,618,8,22.528,0.012,22.044,0.016,21.797,0.015
NGC3115_GC130 ,151.235926,-7.661403,641,6,21.837,0.009,21.095,0.009,20.817,0.008
NGC3115_GC131 ,151.29997,-7.752374,609,7,22.525,0.013,21.679,0.014,21.292,0.013
NGC3115_GC132 ,151.303547,-7.712862,1035,5,21.224,0.009,20.437,0.008,20.128,0.008
NGC3115_GC133 ,151.27299,-7.681364,689,7,22.394,0.011,21.64,0.012,21.337,0.011
NGC3115_GC134 ,151.348508,-7.682946,939,14,22.765,0.015,21.973,0.017,21.71,0.016
NGC3115_GC135 ,151.326,-7.735496,1123,5,20.021,0.003,19.268,0.004,18.968,0.003
NGC3115_GC136 ,151.275679,-7.726128,575,8,22.92,0.017,22.106,0.019,21.77,0.017
NGC3115_GC137 ,151.325404,-7.666935,1033,6,21.986,0.009,21.488,0.011,21.324,0.011
NGC3115_GC138 ,151.282169,-7.799972,753,10,22.068,0.009,21.301,0.01,20.97,0.009
NGC3115_GC139 ,151.239022,-7.723396,579,5,22.133,0.01,21.528,0.012,21.315,0.011
NGC3115_GC140 ,151.37352,-7.650659,732,7,22.082,0.01,21.578,0.012,21.415,0.012
NGC3115_GC141 ,151.35565,-7.692199,895,8,22.57,0.013,21.959,0.016,21.738,0.015
NGC3115_GC142 ,151.388183,-7.675435,718,5,22.053,0.01,21.303,0.01,21.016,0.009
NGC3115_GC143 ,151.29481,-7.726279,610,7,22.585,0.026,21.888,0.029,21.543,0.028
NGC3115_GC144 ,151.33617,-7.69206,886,5,22.016,0.011,21.394,0.012,21.222,0.013
NGC3115_GC145 ,151.289215,-7.772296,518,8,21.317,0.006,20.715,0.007,20.507,0.007
NGC3115_GC146 ,151.286072,-7.702492,433,6,23.037,0.018,22.28,0.021,21.892,0.017
NGC3115_GC147 ,151.314773,-7.675478,957,8,22.625,0.016,22.053,0.019,21.846,0.017
NGC3115_GC148 ,151.27727,-7.672374,770,7,22.199,0.01,21.69,0.013,21.527,0.013
NGC3115_GC149 ,151.32934,-7.739321,925,5,20.591,0.005,20.024,0.005,19.821,0.005
NGC3115_GC150 ,151.292767,-7.798222,710,12,22.706,0.013,21.904,0.014,21.586,0.013
NGC3377_GC1   ,161.947137,14.007417,810,8,21.387,0.019,20.856,0.013,20.606,0.014
NGC3377_GC2   ,161.907196,13.966167,724,10,22.295,0.032,21.589,0.021,21.223,0.021
NGC3377_GC3   ,161.895612,13.970222,729,13,22.596,0.032,21.963,0.021,21.672,0.021
NGC3377_GC4   ,161.926,14.013917,453,17,22.611,0.034,22.049,0.023,21.865,0.025
NGC3377_GC5   ,161.897446,13.970861,681,15,22.789,0.037,22.038,0.023,21.692,0.022
NGC3377_GC6   ,161.934667,13.963889,779,15,22.546,0.034,21.948,0.023,21.653,0.025
NGC3377_GC7   ,161.916888,13.960306,617,18,22.92,0.046,22.287,0.031,22.074,0.036
NGC3377_GC8   ,161.889813,13.957097,754,5,20.002,0.009,19.411,0.006,19.116,0.005
NGC3377_GC9   ,161.941037,14.036651,804,7,20.15,0.009,19.633,0.006,19.379,0.006
NGC3377_GC10  ,161.870975,13.911456,820,8,20.895,0.013,20.306,0.008,20.094,0.008
NGC3377_GC11  ,161.940883,14.079903,564,6,21.214,0.015,20.565,0.009,20.21,0.008
NGC3377_GC12  ,161.828954,13.935324,720,12,21.39,0.017,20.852,0.011,20.547,0.01
NGC3377_GC13  ,161.964537,14.011293,727,10,21.421,0.017,20.948,0.011,20.701,0.011
NGC3377_GC14  ,161.945171,14.043575,678,7,21.666,0.019,21.053,0.012,20.749,0.011
NGC3377_GC15  ,162.003271,14.071326,607,8,21.711,0.02,21.109,0.012,20.807,0.011
NGC3377_GC16  ,162.008762,14.058941,703,13,22.075,0.023,21.495,0.015,21.193,0.014
NGC3377_GC17  ,161.988425,14.039355,795,15,22.019,0.023,21.493,0.015,21.226,0.014
NGC3377_GC18  ,161.820033,13.950382,737,16,22.024,0.023,21.49,0.015,21.231,0.014
NGC3377_GC19  ,161.980508,14.052072,644,17,22.246,0.025,21.795,0.017,21.539,0.016
NGC3377_GC20  ,161.854758,13.972343,622,11,22.41,0.027,21.855,0.018,21.592,0.017
NGC3377_GC21  ,161.946613,14.023664,749,21,22.418,0.028,21.919,0.019,21.685,0.019
NGC3377_GC22  ,161.900113,13.981722,885,5,21.648,0.021,20.944,0.013,20.633,0.013
NGC3377_GC23  ,161.943029,13.967972,831,5,21.046,0.015,20.357,0.009,19.999,0.008
NGC3377_GC24  ,161.952029,13.957639,537,7,21.487,0.018,20.966,0.012,20.725,0.011
NGC3377_GC25  ,161.943167,13.958944,780,9,21.837,0.021,21.334,0.014,21.118,0.014
NGC3377_GC26  ,161.927279,13.9615,799,8,22.328,0.031,21.591,0.02,21.228,0.02
NGC3377_GC27  ,161.950667,13.969694,740,12,22.917,0.037,22.273,0.024,21.923,0.023
NGC3377_GC28  ,161.924971,14.009778,756,15,23.117,0.055,22.534,0.038,22.256,0.045
NGC3377_GC29  ,161.919337,14.019839,736,5,20.673,0.012,20.003,0.007,19.65,0.007
NGC3377_GC30  ,161.843304,14.071283,565,7,20.666,0.013,20.24,0.009,19.985,0.009
NGC3377_GC31  ,161.891821,14.097451,661,7,21.598,0.018,20.914,0.011,20.545,0.01
NGC3377_GC32  ,161.905288,14.037391,839,9,22.049,0.023,21.479,0.015,21.213,0.014
NGC3377_GC33  ,161.841062,14.066763,589,15,22.448,0.046,21.772,0.028,21.463,0.029
NGC3377_GC34  ,161.978571,13.959312,821,14,22.535,0.03,21.876,0.018,21.546,0.018
NGC3377_GC35  ,161.897158,14.066449,584,13,22.246,0.025,21.739,0.017,21.533,0.016
NGC3377_GC36  ,161.877217,14.030434,638,21,22.272,0.026,21.721,0.017,21.53,0.016
